,name,normal_assignment,assignment,state_var_normal_assignment,state_var_assign,if,loop,var_definition,emit,guarantee,function_call,rhs_msgsender,owner_is_msgsender,lhs_balance_assign,lhs_balance_owner_assign,is_constructor,visibility,modifier_names,is_called
1904,transferFrom,3,3,0,0,0,0,0,0,3,1,0,0,2,0,False,public,[],False
1905,approve,1,1,0,0,0,0,0,0,0,1,0,0,0,0,False,public,[],False
1906,allowance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1907,increaseApproval,1,1,0,0,0,0,0,0,0,1,0,0,0,0,False,public,[],False
1908,decreaseApproval,2,2,0,0,1,0,0,0,0,1,0,0,0,0,False,public,[],False
1909,burn,2,2,0,0,0,0,0,0,1,1,0,0,1,0,False,public,[],False
1910,TTCToken,6,6,3,3,0,0,0,0,1,3,0,0,2,1,True,public,[],False
1911,setCrowdsale,1,1,1,1,0,0,0,0,1,2,0,0,0,0,False,external,['onlyOwner'],False
1912,transfer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,['validDestination'],False
1913,transferFrom,2,2,2,2,3,0,0,0,0,0,0,0,0,0,False,public,['validDestination'],False
1914,burn,0,0,0,0,0,0,0,0,1,1,0,0,0,0,False,public,[],False
1915,TTCSale,7,7,7,7,0,0,0,0,4,1,0,0,0,0,True,public,[],False
1916,,2,2,2,2,1,0,0,0,2,4,0,0,1,1,False,public,"['whenNotPaused', 'beforeDeadline', 'afterStartTime', 'saleNotClosed', 'nonReentrant']",False
1917,terminate,1,1,1,1,0,0,0,0,0,0,0,0,0,0,False,external,['onlyOwner'],False
1918,setRate,1,1,1,1,0,0,0,0,1,0,0,0,0,0,False,public,['onlyOwner'],True
1919,ownerAllocateTokens,2,2,2,2,1,0,0,0,1,3,0,0,1,0,False,external,"['onlyOwner', 'nonReentrant']",False
1920,ownerSafeWithdrawal,0,0,0,0,0,0,0,0,1,1,0,0,0,0,False,external,"['onlyOwner', 'nonReentrant']",False
1921,ownerUnlockFund,1,1,1,1,0,0,0,0,0,0,0,0,0,0,False,external,"['afterDeadline', 'onlyOwner']",False
1922,safeWithdrawal,2,2,2,2,2,0,0,0,0,1,0,0,1,1,False,external,"['afterDeadline', 'nonReentrant']",False
1923,checkFundingGoal,1,1,1,1,2,0,0,0,0,1,0,0,0,0,False,internal,[],True
1924,checkFundingCap,2,2,2,2,2,0,0,0,0,1,0,0,0,0,False,internal,[],True
1925,currentTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1926,convertToMiniTtc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,internal,[],False
1927,changeStartTime,1,1,1,1,0,0,0,0,0,0,0,0,0,0,False,external,['onlyOwner'],False
1928,changeEndTime,1,1,1,1,0,0,0,0,0,0,0,0,0,0,False,external,['onlyOwner'],False
1929,,1,1,1,1,0,0,0,0,0,0,1,1,0,0,True,public,[],False
1930,setCompleted,1,1,1,1,0,0,0,0,0,0,0,0,0,0,False,public,['restricted'],False
1931,upgrade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,['restricted'],False
1932,canCall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1933,,1,1,1,1,0,0,0,1,0,0,0,0,0,0,True,public,[],False
1934,setOwner,1,1,1,1,0,0,0,1,0,0,0,0,0,0,False,public,['auth'],False
1935,setAuthority,1,1,1,1,0,0,0,1,0,0,0,0,0,0,False,public,['auth'],False
1936,isAuthorized,0,0,0,0,3,0,0,0,0,0,0,0,0,0,False,internal,[],False
1937,add,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,internal,[],False
1938,sub,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,internal,[],False
1939,mul,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,internal,[],False
1940,min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,internal,[],False
1941,max,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,internal,[],False
1942,imin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,internal,[],False
1943,imax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,internal,[],False
1944,wmul,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,internal,[],False
1945,rmul,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,internal,[],False
1946,wdiv,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,internal,[],False
1947,rdiv,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,internal,[],False
1948,rpow,3,5,0,0,1,1,0,0,0,0,0,0,0,0,False,internal,[],False
1949,totalSupply,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1950,balanceOf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1951,allowance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1952,approve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1953,transfer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1954,transferFrom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1955,,2,2,2,2,0,0,0,0,0,0,0,0,1,1,True,public,[],False
